model_name,c_matrix,precision,recall,f1,support
XGBRegressor_model_0,"[[220   0]
 [  0 212]]",1.0,1.0,1.0,212.0
XGBRegressor_model_1,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
XGBRegressor_model_2,"[[196   0]
 [  0 236]]",1.0,1.0,1.0,236.0
XGBRegressor_model_3,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
XGBRegressor_model_4,"[[217   0]
 [  0 215]]",1.0,1.0,1.0,215.0
XGBRegressor_model_5,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
XGBRegressor_model_6,"[[213   0]
 [  0 219]]",1.0,1.0,1.0,219.0
XGBRegressor_model_7,"[[220   0]
 [  0 212]]",1.0,1.0,1.0,212.0
XGBRegressor_model_8,"[[230   0]
 [  0 202]]",1.0,1.0,1.0,202.0
XGBRegressor_model_9,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
LogisticRegression_model_0,"[[214   0]
 [  0 218]]",1.0,1.0,1.0,218.0
LogisticRegression_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LogisticRegression_model_2,"[[207   0]
 [  0 225]]",1.0,1.0,1.0,225.0
LogisticRegression_model_3,"[[203   0]
 [  0 229]]",1.0,1.0,1.0,229.0
LogisticRegression_model_4,"[[202   0]
 [  0 230]]",1.0,1.0,1.0,230.0
LogisticRegression_model_5,"[[225   0]
 [  0 207]]",1.0,1.0,1.0,207.0
LogisticRegression_model_6,"[[221   1]
 [  0 210]]",0.995260663507109,1.0,0.997624703087886,210.0
LogisticRegression_model_7,"[[213   0]
 [  0 219]]",1.0,1.0,1.0,219.0
LogisticRegression_model_8,"[[215   0]
 [  0 217]]",1.0,1.0,1.0,217.0
LogisticRegression_model_9,"[[240   0]
 [  0 192]]",1.0,1.0,1.0,192.0
RidgeClassifier_model_0,"[[214   0]
 [  0 218]]",1.0,1.0,1.0,218.0
RidgeClassifier_model_1,"[[218   1]
 [  0 213]]",0.9953271028037384,1.0,0.9976580796252927,213.0
RidgeClassifier_model_2,"[[205   2]
 [  0 225]]",0.9911894273127754,1.0,0.9955752212389382,225.0
